Gene	Annotation_F	Isolates_F	Annotation_En	Isolates_En
clpX	ATP-dependent Clp protease ATP-binding subunit ClpX	56	ATP-dependent Clp protease ATP-binding subunit ClpX	63
rph	Ribonuclease PH	56	Ribonuclease PH	63
pyrE	Orotate phosphoribosyltransferase	56	Orotate phosphoribosyltransferase	63
yfhL	Ferredoxin YfhL	56	Ferredoxin YfhL	63
secB	Protein-export protein SecB	56	Protein-export protein SecB	63
cysE	Serine acetyltransferase	56	Serine acetyltransferase	63
ycdZ	Inner membrane protein YcdZ	56	Inner membrane protein YcdZ	63
accA	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha	56	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha	63
tolR_4	Tol-Pal system protein TolR	56	Tol-Pal system protein TolR	63
murP	PTS system N-acetylmuramic acid-specific EIIBC component	56	PTS system N-acetylmuramic acid-specific EIIBC component	63
folB	Dihydroneopterin aldolase	56	Dihydroneopterin aldolase	63
ybiB	putative protein YbiB	56	putative protein YbiB	63
nudE	ADP compounds hydrolase NudE	56	ADP compounds hydrolase NudE	63
iscA	Iron-binding protein IscA	56	Iron-binding protein IscA	63
iscS	Cysteine desulfurase IscS	56	Cysteine desulfurase IscS	63
flgC_2	Flagellar basal-body rod protein FlgC	56	Flagellar basal-body rod protein FlgC	63
cheV_4	Chemotaxis protein CheV	56	Chemotaxis protein CheV	63
pilT_1	Twitching mobility protein	56	Twitching mobility protein	63
acuI	putative acrylyl-CoA reductase AcuI	56	putative acrylyl-CoA reductase AcuI	63
glyQ	Glycine--tRNA ligase alpha subunit	56	Glycine--tRNA ligase alpha subunit	63
cysD	Sulfate adenylyltransferase subunit 2	56	Sulfate adenylyltransferase subunit 2	63
fbp	Fructose-1,6-bisphosphatase class 1	56	Fructose-1,6-bisphosphatase class 1	63
amy	hypothetical protein	56	hypothetical protein	63
sapF	Putrescine export system ATP-binding protein SapF	56	Putrescine export system ATP-binding protein SapF	63
hisC	Histidinol-phosphate aminotransferase	56	Histidinol-phosphate aminotransferase	63
cadB	putative cadaverine/lysine antiporter	56	putative cadaverine/lysine antiporter	63
yjiG	Inner membrane protein YjiG	56	Inner membrane protein YjiG	63
deoB	Phosphopentomutase	56	Phosphopentomutase	63
ytjB	hypothetical protein	56	hypothetical protein	63
ubiK	Ubiquinone biosynthesis accessory factor UbiK	56	Ubiquinone biosynthesis accessory factor UbiK	63
glgB	1,4-alpha-glucan branching enzyme GlgB	56	1,4-alpha-glucan branching enzyme GlgB	63
rpsE	30S ribosomal protein S5	56	30S ribosomal protein S5	63
rplB	50S ribosomal protein L2	56	50S ribosomal protein L2	63
pstA1	Phosphate transport system permease protein PstA 1	56	Phosphate transport system permease protein PstA 1	63
pstC	Phosphate transport system permease protein PstC	56	Phosphate transport system permease protein PstC	63
pfkA	ATP-dependent 6-phosphofructokinase isozyme 1	56	ATP-dependent 6-phosphofructokinase isozyme 1	63
purB	Adenylosuccinate lyase	56	Adenylosuccinate lyase	63
gapA	Glyceraldehyde-3-phosphate dehydrogenase A	56	Glyceraldehyde-3-phosphate dehydrogenase A	63
gcdB	Glutaconyl-CoA decarboxylase subunit beta	56	Glutaconyl-CoA decarboxylase subunit beta	63
rpsK	30S ribosomal protein S11	56	30S ribosomal protein S11	63
fklB	FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase	56	FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase	63
lpoB	Penicillin-binding protein activator LpoB	56	Penicillin-binding protein activator LpoB	63
znuB_1	High-affinity zinc uptake system membrane protein ZnuB	56	High-affinity zinc uptake system membrane protein ZnuB	63
ribB	3,4-dihydroxy-2-butanone 4-phosphate synthase	56	3,4-dihydroxy-2-butanone 4-phosphate synthase	63
xanP	Xanthine permease XanP	56	Xanthine permease XanP	63
metF	5,10-methylenetetrahydrofolate reductase	56	5,10-methylenetetrahydrofolate reductase	63
tsaE	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE	56	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE	63
hflK	Modulator of FtsH protease HflK	56	Modulator of FtsH protease HflK	63
lpxC	UDP-3-O-acyl-N-acetylglucosamine deacetylase	56	UDP-3-O-acyl-N-acetylglucosamine deacetylase	63
ccmE	Cytochrome c-type biogenesis protein CcmE	56	Cytochrome c-type biogenesis protein CcmE	63
frwD	PTS system fructose-like EIIB component 3	56	PTS system fructose-like EIIB component 3	63
srlR	Glucitol operon repressor	56	Glucitol operon repressor	63
trmB	tRNA (guanine-N(7)-)-methyltransferase	56	tRNA (guanine-N(7)-)-methyltransferase	63
rnpA	Ribonuclease P protein component	56	Ribonuclease P protein component	63
oppD_4	Oligopeptide transport ATP-binding protein OppD	56	Oligopeptide transport ATP-binding protein OppD	63
ridA_2	2-iminobutanoate/2-iminopropanoate deaminase	56	2-iminobutanoate/2-iminopropanoate deaminase	63
ibaG	Acid stress protein IbaG	56	Acid stress protein IbaG	63
atpI	hypothetical protein	56	hypothetical protein	63
atpB	ATP synthase subunit a	56	ATP synthase subunit a	63
atpH	ATP synthase subunit delta	56	ATP synthase subunit delta	63
frdA	Fumarate reductase flavoprotein subunit	56	Fumarate reductase flavoprotein subunit	63
group_5949	hypothetical protein	56	Leucine-responsive regulatory protein	63
gcvH	Glycine cleavage system H protein	56	Glycine cleavage system H protein	63
apaG	Protein ApaG	56	Protein ApaG	63
ybeY	Endoribonuclease YbeY	56	Endoribonuclease YbeY	63
moaA	GTP 3',8-cyclase	56	GTP 3',8-cyclase	63
slyD	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD	56	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD	63
moeA_2	hypothetical protein	56	hypothetical protein	63
fabG_2	3-oxoacyl-[acyl-carrier-protein] reductase FabG	56	3-oxoacyl-[acyl-carrier-protein] reductase FabG	63
