Gene	Annotation_En	Isolates_En
ybaK_1	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK	63
group_19109	hypothetical protein	63
group_19112	hypothetical protein	63
hcaT	putative 3-phenylpropionic acid transporter	63
macB_3	Macrolide export ATP-binding/permease protein MacB	63
envZ_1	Adaptive-response sensory-kinase SasA	63
hemH	Ferrochelatase	63
nhaP2_2	K( )/H( ) antiporter NhaP2	63
ytfJ_2	putative protein YtfJ	63
group_19121	hypothetical protein	63
group_19122	hypothetical protein	63
group_19123	hypothetical protein	63
group_19124	hypothetical protein	63
fruB	Multiphosphoryl transfer protein	63
tehA	hypothetical protein	63
group_1913	NADH oxidase	63
cueR_2	HTH-type transcriptional regulator CueR	63
fryA	hypothetical protein	63
ygaV	putative HTH-type transcriptional regulator YgaV	63
btsR_2	Transcriptional regulatory protein BtsR	63
nadD	nicotinate-nucleotide adenylyltransferase	63
nudF_2	ADP-ribose pyrophosphatase	63
dctD_2	C4-dicarboxylate transport transcriptional regulatory protein DctD	63
hscB	Co-chaperone protein HscB 	63
cgtA	GTPase Obg/CgtA	63
group_19146	hypothetical protein	63
dctQ	C4-dicarboxylate TRAP transporter small permease protein DctQ	63
norG_2	HTH-type transcriptional regulator NorG	63
pxpC	5-oxoprolinase subunit C	63
group_19151	hypothetical protein	63
dctB_4	Adaptive-response sensory-kinase SasA	63
group_19153	hypothetical protein	63
group_19154	hypothetical protein	63
queA	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	63
yiaW	Inner membrane protein YiaW	63
fliR_1	Flagellar biosynthetic protein FliR	63
cysG_1	Siroheme synthase	63
group_19160	hypothetical protein	63
pdhA	Pyruvate dehydrogenase E1 component subunit alpha	63
group_19162	hypothetical protein	63
bfr	Bacterioferritin	63
luxP	Autoinducer 2-binding periplasmic protein LuxP	63
ppsR	Phosphoenolpyruvate synthase regulatory protein	63
manP_2	hypothetical protein	63
group_19167	hypothetical protein	63
group_19168	hypothetical protein	63
group_19169	hypothetical protein	63
group_19171	Phosphoserine phosphatase	63
bsrV_1	Broad specificity amino-acid racemase	63
group_19173	hypothetical protein	63
group_19174	hypothetical protein	63
group_19175	hypothetical protein	63
lpxB	Lipid-A-disaccharide synthase	63
rppH_2	hypothetical protein	63
osmY	hypothetical protein	63
moaC	Cyclic pyranopterin monophosphate synthase	63
group_19181	hypothetical protein	63
group_19182	hypothetical protein	63
napG	Ferredoxin-type protein NapG	63
ychQ	Protein YchQ	63
rhlE_6	ATP-dependent RNA helicase RhlE	63
group_19187	hypothetical protein	63
sapB	Putrescine export system permease protein SapB	63
yohD	Inner membrane protein YohD	63
arpC	Antibiotic efflux pump outer membrane protein ArpC	63
kefG	Glutathione-regulated potassium-efflux system ancillary protein KefG	63
lpxL_1	Lipid A biosynthesis lauroyltransferase	63
tolC_2	Outer membrane protein TolC	63
group_19195	hypothetical protein	63
group_19196	hypothetical protein	63
group_19199	hypothetical protein	63
cysG_3	Siroheme synthase	63
group_19201	hypothetical protein	63
envC	Murein hydrolase activator EnvC	63
group_19203	Putative pterin-4-alpha-carbinolamine dehydratase	63
group_19207	hypothetical protein	63
group_19208	hypothetical protein	63
slyA_2	Transcriptional regulator SlyA	63
pyrF	Orotidine 5'-phosphate decarboxylase	63
phnR_1	Putative transcriptional regulator of 2-aminoethylphosphonate degradation operons	63
group_19218	hypothetical protein	63
sdaB	L-serine dehydratase 2	63
lolA_1	Outer-membrane lipoprotein carrier protein	63
glpR	Glycerol-3-phosphate regulon repressor	63
rapZ	RNase adapter protein RapZ	63
bicA_2	Bicarbonate transporter BicA	63
group_19235	hypothetical protein	63
fpuA	Petrobactin-binding protein FpuA	63
group_19241	HTH-type transcriptional regulator DmlR	63
ttrR_1	Tetrathionate response regulatory protein TtrR	63
avtA	Valine--pyruvate aminotransferase	63
folC	Dihydrofolate synthase/folylpolyglutamate synthase	63
hemN	Oxygen-independent coproporphyrinogen III oxidase	63
group_19247	hypothetical protein	63
group_19248	hypothetical protein	63
dsbC	Thiol:disulfide interchange protein DsbC	63
pctB_2	Methyl-accepting chemotaxis protein PctB	63
group_19252	hypothetical protein	63
fliO	Flagellar protein FliO	63
acpS	Holo-[acyl-carrier-protein] synthase	63
gdx	Guanidinium exporter	63
pntB	NAD(P) transhydrogenase subunit beta	63
group_19258	hypothetical protein	63
fabG_1	3-oxoacyl-[acyl-carrier-protein] reductase FabG	63
priB	Primosomal replication protein N	63
dmlR_5	HTH-type transcriptional regulator DmlR	63
group_19264	hypothetical protein	63
yedI	Inner membrane protein YedI	63
group_19266	Membrane sensor protein UhpC	63
thiB	Thiamine-binding periplasmic protein	63
group_19270	hypothetical protein	63
group_19271	hypothetical protein	63
rlmA	23S rRNA (guanine(745)-N(1))-methyltransferase	63
zntR_3	HTH-type transcriptional regulator ZntR	63
group_19274	hypothetical protein	63
bcr_1	Bicyclomycin resistance protein	63
cca	Multifunctional CCA protein	63
group_19277	hypothetical protein	63
group_19278	hypothetical protein	63
group_19279	hypothetical protein	63
bdcR	hypothetical protein	63
group_19280	hypothetical protein	63
damX_2	Cell division protein DamX	63
dnaK_1	Chaperone protein DnaK	63
potD_1	Spermidine/putrescine-binding periplasmic protein	63
group_19284	hypothetical protein	63
group_19285	hypothetical protein	63
fre	NAD(P)H-flavin reductase	63
kefF	Glutathione-regulated potassium-efflux system ancillary protein KefF	63
group_19288	hypothetical protein	63
ohrR	Organic hydroperoxide resistance transcriptional regulator	63
tdk	Thymidine kinase	63
group_19292	hypothetical protein	63
ydhF	Oxidoreductase YdhF	63
yjdF	Inner membrane protein YjdF	63
group_19295	hypothetical protein	63
group_19296	hypothetical protein	63
group_19297	hypothetical protein	63
dnaN	Beta sliding clamp	63
group_19302	Methyl-accepting chemotaxis protein McpP	63
group_19303	hypothetical protein	63
pspA	Phage shock protein A	63
syd	Protein Syd	63
thiG	Thiazole synthase	63
napC_1	Cytochrome c-type protein NapC	63
frdC	Fumarate reductase subunit C	63
group_19315	hypothetical protein	63
ribE	Riboflavin synthase	63
mexB	Multidrug resistance protein MexB	63
napD	Chaperone NapD	63
group_19322	hypothetical protein	63
group_19323	hypothetical protein	63
group_19324	hypothetical protein	63
hemC	Porphobilinogen deaminase	63
pstS1_2	Phosphate-binding protein PstS 1	63
group_19327	hypothetical protein	63
icaA	hypothetical protein	63
mmsA_1	Methylmalonate-semialdehyde dehydrogenase [acylating]	63
napH	Ferredoxin-type protein NapH	63
ctaG	Cytochrome c oxidase assembly protein CtaG	63
group_19334	hypothetical protein	63
yxeM	putative amino-acid-binding protein YxeM	63
fdhD_1	Sulfur carrier protein FdhD	63
fusA_1	Elongation factor G	63
group_19340	hypothetical protein	63
atoC_2	Regulatory protein AtoC	63
group_19345	hypothetical protein	63
group_19346	hypothetical protein	63
group_19349	hypothetical protein	63
yceI	Protein YceI	63
acdA_2	Acyl-CoA dehydrogenase	63
cqsA	CAI-1 autoinducer synthase	63
group_19366	hypothetical protein	63
group_19367	hypothetical protein	63
group_19368	hypothetical protein	63
ppm1	hypothetical protein	63
group_1937	hypothetical protein	63
group_19370	hypothetical protein	63
yebE	hypothetical protein	63
baeS	Adaptive-response sensory-kinase SasA	63
group_19375	hypothetical protein	63
rsuA	Ribosomal small subunit pseudouridine synthase A	63
iolU	scyllo-inositol 2-dehydrogenase (NADP( )) IolU	63
group_19379	hypothetical protein	63
ytrB	ABC transporter ATP-binding protein YtrB	63
lolD_1	Lipoprotein-releasing system ATP-binding protein LolD	63
group_19384	hypothetical protein	63
group_19385	hypothetical protein	63
barA_2	Sensor histidine kinase RcsC	63
group_19387	Ferredoxin 1	63
luxO_3	Regulatory protein LuxO	63
yheI	putative multidrug resistance ABC transporter ATP-binding/permease protein YheI	63
group_19391	hypothetical protein	63
trpGD_2	Bifunctional protein TrpGD	63
nrdB	Ribonucleoside-diphosphate reductase 1 subunit beta	63
dapA	4-hydroxy-tetrahydrodipicolinate synthase	63
group_19395	hypothetical protein	63
group_19396	hypothetical protein	63
group_19397	hypothetical protein	63
alr1	Alanine racemase	63
group_19402	hypothetical protein	63
pgrR_1	HTH-type transcriptional regulator PgrR	63
group_19404	hypothetical protein	63
lcfB	Long-chain-fatty-acid--CoA ligase	63
group_19409	hypothetical protein	63
ubiE_3	hypothetical protein	63
dgcT_3	hypothetical protein	63
dedD	Cell division protein DedD	63
cra	Catabolite repressor/activator	63
ygiW	Protein YgiW	63
group_19416	hypothetical protein	63
rlmB_1	23S rRNA (guanosine-2'-O-)-methyltransferase RlmB	63
yfnB	Phosphoglycolate phosphatase	63
group_19419	hypothetical protein	63
uspB	Universal stress protein B	63
dgcM	hypothetical protein	63
group_19424	Polyphosphate:ADP phosphotransferase	63
yidZ_7	HTH-type transcriptional regulator YidZ	63
fliH_2	hypothetical protein	63
group_19432	hypothetical protein	63
group_19433	hypothetical protein	63
codB	Cytosine permease	63
cirA	Colicin I receptor	63
recA_1	hypothetical protein	63
btuF	Vitamin B12-binding protein	63
cdaR	Carbohydrate diacid regulator	63
ohrB	Organic hydroperoxide resistance protein OhrB	63
tusB	Protein TusB	63
epsD	Secretin GspD	63
potA_1	Vitamin B12 import ATP-binding protein BtuD	63
ttgI	Toluene efflux pump outer membrane protein TtgI	63
group_2011	hypothetical protein	63
grxB	Glutaredoxin 2	63
cntI_2	Riboflavin transporter	63
group_2040	hypothetical protein	63
group_2044	Isoleucine 2-epimerase	63
phrB	(6-4) photolyase	63
fccA	Cytochrome subunit of sulfide dehydrogenase	63
paaF_1	2,3-dehydroadipyl-CoA hydratase	63
lifO	Lipase chaperone	63
recD	RecBCD enzyme subunit RecD	63
csdA	Cysteine desulfurase CsdA	63
group_2109	Inosine/xanthosine triphosphatase	63
group_2111	hypothetical protein	63
group_2121	hypothetical protein	63
group_2125	hypothetical protein	63
bcp	Peroxiredoxin Bcp	63
group_2133	hypothetical protein	63
yegS_2	lipid kinase YegS	63
group_2135	hypothetical protein	63
dltA	D-alanine--D-alanyl carrier protein ligase	63
yciK	putative oxidoreductase YciK	63
group_2147	hypothetical protein	63
group_2148	Putative pseudouridine methyltransferase	63
group_2157	hypothetical protein	63
dsdA	D-serine dehydratase	63
group_2173	hypothetical protein	63
group_2192	hypothetical protein	63
group_2204	hypothetical protein	63
group_2207	hypothetical protein	63
group_2212	hypothetical protein	63
group_2220	hypothetical protein	63
thiH	2-iminoacetate synthase	63
group_2246	hypothetical protein	63
fadB	Fatty acid oxidation complex subunit alpha	63
glnM	putative glutamine ABC transporter permease protein GlnM	63
group_2265	hypothetical protein	63
chbR	HTH-type transcriptional activator RhaS	63
treA	Trehalose-6-phosphate hydrolase	63
asnB	Asparagine synthetase B [glutamine-hydrolyzing]	63
group_2325	putative RNA pseudouridine synthase	63
group_2340	hypothetical protein	63
cobC	Adenosylcobalamin/alpha-ribazole phosphatase	63
yijE	hypothetical protein	63
purN	Phosphoribosylglycinamide formyltransferase	63
metQ_1	D-methionine-binding lipoprotein MetQ	63
rhlE_4	ATP-dependent RNA helicase RhlE	63
fecD	Fe(3 ) dicitrate transport system permease protein FecD	63
menD	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase	63
fhuC	Iron(3 )-hydroxamate import ATP-binding protein FhuC	63
ygaZ	Inner membrane protein YgaZ	63
oprF_1	Peptidoglycan-associated lipoprotein	63
group_2502	hypothetical protein	63
group_2504	hypothetical protein	63
ubiG_1	Ubiquinone biosynthesis O-methyltransferase, mitochondrial	63
group_2511	hypothetical protein	63
liuE_2	3-hydroxy-3-isohexenylglutaryl-CoA/hydroxy-methylglutaryl-CoA lyase	63
paaF_3	2,3-dehydroadipyl-CoA hydratase	63
mmsA_2	Methylmalonate-semialdehyde dehydrogenase [acylating]	63
group_2526	hypothetical protein	63
sodC	Superoxide dismutase [Cu-Zn]	63
group_2539	hypothetical protein	63
group_2546	hypothetical protein	63
pdxY_1	Pyridoxal kinase PdxY	63
group_2554	hypothetical protein	63
dmlR_8	HTH-type transcriptional regulator DmlR	63
dmsC	Anaerobic dimethyl sulfoxide reductase chain C	63
group_2566	3'3'-cGAMP-specific phosphodiesterase 1	63
group_2585	hypothetical protein	63
group_2591	hypothetical protein	63
group_2593	hypothetical protein	63
pxpA3	5-oxoprolinase subunit A 3	63
dnaJ_1	hypothetical protein	63
sodA	Superoxide dismutase [Mn]	63
thiE_2	Thiamine-phosphate synthase	63
group_2610	hypothetical protein	63
group_2617	hypothetical protein	63
yhgF	Protein YhgF	63
yahB_2	HTH-type transcriptional regulator HdfR	63
ubiB_1	protein kinase UbiB	63
group_2630	hypothetical protein	63
msrAB_2	Peptide methionine sulfoxide reductase MsrA/MsrB	63
pctC_1	hypothetical protein	63
adhR	HTH-type transcriptional regulator AdhR	63
maa_1	Maltose O-acetyltransferase	63
opuAC	hypothetical protein	63
group_2664	hypothetical protein	63
group_2665	hypothetical protein	63
rimI	[Ribosomal protein S18]-alanine N-acetyltransferase	63
group_268	Acetyl-coenzyme A synthetase	63
srpC	putative chromate transport protein	63
csdE	Sulfur acceptor protein CsdE	63
rlmG	Ribosomal RNA large subunit methyltransferase G	63
carA	Carbamoyl-phosphate synthase small chain	63
outB	hypothetical protein	63
pncC_2	Nicotinamide-nucleotide amidohydrolase PncC	63
tqsA	AI-2 transport protein TqsA	63
tsdA	Thiosulfate dehydrogenase	63
yfkJ	Putative low molecular weight protein-tyrosine-phosphatase	63
luxU	Phosphorelay protein LuxU	63
pcaH	hypothetical protein	63
yigB	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB	63
group_2744	Putative thiamine biosynthesis protein	63
ygfF	putative oxidoreductase YgfF	63
group_2750	hypothetical protein	63
nrfG	hypothetical protein	63
mcp3	hypothetical protein	63
group_2775	hypothetical protein	63
xseA	Exodeoxyribonuclease 7 large subunit	63
cutC_2	Copper homeostasis protein CutC	63
ppx	Exopolyphosphatase	63
liuE_1	3-hydroxy-3-isohexenylglutaryl-CoA/hydroxy-methylglutaryl-CoA lyase	63
group_2795	hypothetical protein	63
nhoA	Arylamine N-acetyltransferase / N-hydroxyarylamine O-acetyltransferase	63
group_2816	hypothetical protein	63
pgrR_4	HTH-type transcriptional regulator PgrR	63
group_2820	N-ethylmaleimide reductase	63
atsA_1	N-acetylgalactosamine-6-O-sulfatase	63
pepQ	hypothetical protein	63
group_2838	hypothetical protein	63
pdxB	Erythronate-4-phosphate dehydrogenase	63
group_2848	hypothetical protein	63
gcvP	Glycine dehydrogenase (decarboxylating)	63
fhuE	Metal-pseudopaline receptor CntO	63
yfcE	Phosphodiesterase YfcE	63
group_2912	hypothetical protein	63
clsA	Cardiolipin synthase A	63
group_2929	hypothetical protein	63
mtlA_1	PTS system mannitol-specific EIICB component	63
group_301	hypothetical protein	63
group_3018	hypothetical protein	63
group_3036	hypothetical protein	63
group_3040	hypothetical protein	63
murI	Glutamate racemase	63
group_3045	hypothetical protein	63
group_305	hypothetical protein	63
group_3059	hypothetical protein	63
group_3072	hypothetical protein	63
pse4	Beta-lactamase PSE-4	63
cusB	hypothetical protein	63
group_3093	hypothetical protein	63
group_3097	hypothetical protein	63
mshD	Mycothiol acetyltransferase	63
cmpC	Bicarbonate transport ATP-binding protein CmpC	63
cutC_1	Choline trimethylamine-lyase	63
group_3135	hypothetical protein	63
tnpR	hypothetical protein	63
fecA	Fe(3 ) dicitrate transport protein FecA	63
torD_2	Chaperone protein TorD	63
patZ	Peptidyl-lysine N-acetyltransferase PatZ	63
volA	Lysophospholipase VolA	63
epmA	Elongation factor P--(R)-beta-lysine ligase	63
amiB	hypothetical protein	63
group_3202	hypothetical protein	63
rstA_2	hypothetical protein	63
csxA	hypothetical protein	63
tyrS_1	Tyrosine--tRNA ligase	63
nemA_1	N-ethylmaleimide reductase	63
group_325	hypothetical protein	63
yccF	Inner membrane protein YccF	63
group_3260	hypothetical protein	63
rhtB_1	Homoserine/homoserine lactone efflux protein	63
nlpE	hypothetical protein	63
leuE_2	Leucine efflux protein	63
mltD_1	hypothetical protein	63
group_3272	hypothetical protein	63
cah_2	Carbonic anhydrase	63
nudF_1	hypothetical protein	63
yhfA	Protein YhfA	63
pgl_1	6-phosphogluconolactonase	63
group_3302	hypothetical protein	63
mmgC_1	Acyl-CoA dehydrogenase	63
luxQ_3	Sensor histidine kinase RcsC	63
group_3320	hypothetical protein	63
group_3321	hypothetical protein	63
gcvA_4	Glycine cleavage system transcriptional activator	63
group_3352	hypothetical protein	63
recB	RecBCD enzyme subunit RecB	63
yajL	Protein/nucleic acid deglycase 3	63
rluD	Ribosomal large subunit pseudouridine synthase D	63
slt	Soluble lytic murein transglycosylase	63
group_338	hypothetical protein	63
lysU	Lysine--tRNA ligase, heat inducible	63
prfB	Peptide chain release factor RF2	63
cbiB	Cobalamin biosynthesis protein CbiB	63
coaE	Dephospho-CoA kinase	63
group_341	hypothetical protein	63
truD	tRNA pseudouridine synthase D	63
lepA	Elongation factor 4	63
gltC	HTH-type transcriptional regulator GltC	63
ttrB	Tetrathionate reductase subunit B	63
ttrA	Tetrathionate reductase subunit A	63
group_3429	putative ABC transporter-binding protein	63
group_3431	hypothetical protein	63
yqjG	Glutathionyl-hydroquinone reductase YqjG	63
group_344	hypothetical protein	63
oppB_2	Oligopeptide transport system permease protein OppB	63
group_3451	hypothetical protein	63
hemX	hypothetical protein	63
tldD_1	Metalloprotease TldD	63
wecD	hypothetical protein	63
hdl IVa	hypothetical protein	63
group_3466	hypothetical protein	63
group_3470	hypothetical protein	63
cbpD	GlcNAc-binding protein A	63
dhaT	1,3-propanediol dehydrogenase	63
norM_1	Multidrug resistance protein NorM	63
licH_2	putative 6-phospho-beta-glucosidase	63
group_3484	hypothetical protein	63
group_3492	hypothetical protein	63
group_3503	hypothetical protein	63
coaBC	Coenzyme A biosynthesis bifunctional protein CoaBC	63
ydcF	Protein YdcF	63
group_3562	hypothetical protein	63
murQ_1	N-acetylmuramic acid 6-phosphate etherase	63
yknY_2	putative ABC transporter ATP-binding protein YknY	63
macB_1	Macrolide export ATP-binding/permease protein MacB	63
group_3570	hypothetical protein	63
ytrA	hypothetical protein	63
oapA	hypothetical protein	63
group_3581	hypothetical protein	63
cpdB	2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase	63
group_3585	putative ABC transporter ATP-binding protein	63
group_3587	hypothetical protein	63
group_3595	hypothetical protein	63
group_3596	hypothetical protein	63
group_3607	hypothetical protein	63
group_3609	hypothetical protein	63
empA	Virulence metalloprotease	63
leuO_1	HTH-type transcriptional regulator LeuO	63
virS	HTH-type transcriptional regulator VirS	63
group_3620	hypothetical protein	63
group_3627	hypothetical protein	63
group_3632	hypothetical protein	63
metB	Cystathionine gamma-synthase	63
ydeP	Protein YdeP	63
cdr	Coenzyme A disulfide reductase	63
group_365	hypothetical protein	63
group_3653	hypothetical protein	63
group_3655	hypothetical protein	63
group_3656	hypothetical protein	63
group_3663	hypothetical protein	63
ycjG	L-Ala-D/L-Glu epimerase	63
feoB	Fe(2 ) transporter FeoB	63
group_3719	1,4-dihydroxy-2-naphthoyl-CoA hydrolase	63
fliY	L-cystine-binding protein FliY	63
icd2	Isocitrate dehydrogenase [NADP] 2	63
phoD	Alkaline phosphatase D	63
ddl_2	hypothetical protein	63
hcr	NADH oxidoreductase HCR	63
tcaR	hypothetical protein	63
comC	hypothetical protein	63
epsE_1	Type II secretion system protein E	63
mshA_1	D-inositol-3-phosphate glycosyltransferase	63
group_385	hypothetical protein	63
rluE	Ribosomal large subunit pseudouridine synthase E	63
yejF	putative ABC transporter ATP-binding protein YejF	63
group_388	hypothetical protein	63
trpGD_1	Bifunctional protein TrpGD	63
group_3891	hypothetical protein	63
group_3904	Putative multidrug export ATP-binding/permease protein	63
group_3922	hypothetical protein	63
group_3925	hypothetical protein	63
gtf1_1	hypothetical protein	63
katG_2	Catalase-peroxidase	63
ompP1	Outer membrane protein P1	63
group_3947	hypothetical protein	63
coaA_1	Pantothenate kinase	63
tyrP_1	Tyrosine-specific transport protein	63
ribN	Riboflavin transporter	63
ycgM	putative protein YcgM	63
leuE_1	Leucine efflux protein	63
ctaA	Heme A synthase	63
lolE_1	hypothetical protein	63
group_3978	putative protein	63
acs_2	Acetyl-coenzyme A synthetase	63
rhlE_2	ATP-dependent RNA helicase RhlE	63
group_3986	hypothetical protein	63
artI	Putative ABC transporter arginine-binding protein 2	63
sspA_1	Stringent starvation protein A	63
group_4000	hypothetical protein	63
gcvA_1	Glycine cleavage system transcriptional activator	63
comR	hypothetical protein	63
dmlR_4	HTH-type transcriptional regulator DmlR	63
group_4023	hypothetical protein	63
bsn	hypothetical protein	63
mshA_2	D-inositol-3-phosphate glycosyltransferase	63
group_4076	hypothetical protein	63
group_408	hypothetical protein	63
pxpB	5-oxoprolinase subunit B	63
spoIVFB	hypothetical protein	63
yceJ	Cytochrome b561 	63
yqhD	Alcohol dehydrogenase YqhD	63
fumC	Fumarate hydratase class II	63
group_410	hypothetical protein	63
group_412	hypothetical protein	63
group_4134	hypothetical protein	63
outN	Type II secretion system protein N	63
group_4152	hypothetical protein	63
czcA_2	Cobalt-zinc-cadmium resistance protein CzcA	63
rhtB_2	Homoserine/homoserine lactone efflux protein	63
rstB	Sensor histidine kinase RcsC	63
group_417	hypothetical protein	63
group_4171	hypothetical protein	63
napF_1	Ferredoxin-type protein NapF	63
group_4173	hypothetical protein	63
glpE_2	Thiosulfate sulfurtransferase GlpE	63
group_4184	hypothetical protein	63
flgI_1	Flagellar P-ring protein	63
group_4206	hypothetical protein	63
dgcC_1	hypothetical protein	63
tnaA	Tryptophanase	63
group_4217	hypothetical protein	63
prsE_1	Type I secretion system membrane fusion protein PrsE	63
group_4221	hypothetical protein	63
cshA	DEAD-box ATP-dependent RNA helicase CshA	63
aroG	Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive	63
mntH	hypothetical protein	63
livF	High-affinity branched-chain amino acid transport ATP-binding protein LivF	63
appB	Cytochrome bd-II ubiquinol oxidase subunit 2	63
cydA_1	Cytochrome bd-I ubiquinol oxidase subunit 1	63
group_4247	Major NAD(P)H-flavin oxidoreductase	63
rhaS_1	HTH-type transcriptional activator RhaS	63
group_4260	hypothetical protein	63
group_4284	hypothetical protein	63
adaA	HTH-type transcriptional activator RhaR	63
group_4287	hypothetical protein	63
group_4296	hypothetical protein	63
group_4310	hypothetical protein	63
group_4316	hypothetical protein	63
anmK	Anhydro-N-acetylmuramic acid kinase	63
miaB_1	hypothetical protein	63
rsmH	Ribosomal RNA small subunit methyltransferase H	63
sspB	hypothetical protein	63
degS	Serine endoprotease DegS	63
group_4355	hypothetical protein	63
group_4366	hypothetical protein	63
group_4373	hypothetical protein	63
rlmD	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD	63
rseC	Protein RseC	63
group_4386	hypothetical protein	63
group_439	hypothetical protein	63
dtd3	D-aminoacyl-tRNA deacylase	63
group_4399	hypothetical protein	63
group_4401	hypothetical protein	63
dmlR_12	HTH-type transcriptional regulator DmlR	63
group_4424	hypothetical protein	63
group_443	hypothetical protein	63
group_4433	hypothetical protein	63
fosB	hypothetical protein	63
ymdB	O-acetyl-ADP-ribose deacetylase	63
farB	Fatty acid resistance protein FarB	63
emrK	putative multidrug resistance protein EmrK	63
group_4444	hypothetical protein	63
chbG	Chitooligosaccharide deacetylase ChbG	63
chbA	PTS system N,N'-diacetylchitobiose-specific EIIA component	63
mlaC	Intermembrane phospholipid transport system binding protein MlaC	63
ycjX	putative protein YcjX	63
pdeD_2	hypothetical protein	63
group_4472	hypothetical protein	63
yciI	Protein YciI	63
qseC_1	hypothetical protein	63
flgJ	Peptidoglycan hydrolase FlgJ	63
group_4498	hypothetical protein	63
yciN	Protein YciN	63
group_4513	hypothetical protein	63
group_4516	hypothetical protein	63
bioA	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase	63
ufaA1	Tuberculostearic acid methyltransferase UfaA1	63
lpxH	UDP-2,3-diacylglucosamine hydrolase	63
yahB_1	putative HTH-type transcriptional regulator YahB	63
group_4528	hypothetical protein	63
group_4530	hypothetical protein	63
pepD	Cytosol non-specific dipeptidase	63
tadA	tRNA-specific adenosine deaminase	63
phoR	Phosphate regulon sensor protein PhoR	63
yhhW	Quercetin 2,3-dioxygenase	63
nhaD	Na( )/H( ) antiporter NhaD	63
vanT	hypothetical protein	63
group_4570	hypothetical protein	63
dgt	Deoxyguanosinetriphosphate triphosphohydrolase-like protein	63
cysW_3	hypothetical protein	63
group_4583	hypothetical protein	63
group_4584	hypothetical protein	63
ygfZ	tRNA-modifying protein YgfZ	63
hemW	Heme chaperone HemW	63
mltC	Membrane-bound lytic murein transglycosylase C	63
def2	Peptide deformylase 2	63
group_4624	hypothetical protein	63
yecN	Inner membrane protein YecN	63
yegS	putative lipid kinase YegS	63
chuR_2	Anaerobic sulfatase-maturating enzyme	63
group_4636	hypothetical protein	63
group_4650	hypothetical protein	63
group_4657	hypothetical protein	63
group_4658	hypothetical protein	63
csrD	RNase E specificity factor CsrD	63
group_4668	hypothetical protein	63
aroE	Shikimate dehydrogenase (NADP( ))	63
hemF	Oxygen-dependent coproporphyrinogen-III oxidase	63
thlA_2	Acetyl-CoA acetyltransferase	63
group_4695	hypothetical protein	63
pgi	Glucose-6-phosphate isomerase	63
group_4705	hypothetical protein	63
group_4706	hypothetical protein	63
cobQ	Cobyric acid synthase	63
rssB_2	Regulator of RpoS	63
paaF_2	2,3-dehydroadipyl-CoA hydratase	63
group_4733	hypothetical protein	63
btuD_5	Vitamin B12 import ATP-binding protein BtuD	63
group_4739	hypothetical protein	63
kdsB	3-deoxy-manno-octulosonate cytidylyltransferase	63
comEC	hypothetical protein	63
ribD_2	Riboflavin biosynthesis protein RibD	63
lipA	Lipoyl synthase	63
lipB	Octanoyltransferase	63
holA	DNA polymerase III subunit delta	63
lptE	LPS-assembly lipoprotein LptE	63
ldhA	D-lactate dehydrogenase	63
group_4779	hypothetical protein	63
ugpQ	Glycerophosphodiester phosphodiesterase, cytoplasmic	63
tolQ_2	Tol-Pal system protein TolQ	63
exbD	Tol-Pal system protein TolR	63
mntB	Manganese transport system ATP-binding protein MntB	63
ptrB_1	Protease 2	63
viaA	Protein ViaA	63
group_4799	hypothetical protein	63
group_4805	hypothetical protein	63
group_4806	hypothetical protein	63
uhpB	Signal transduction histidine-protein kinase/phosphatase UhpB	63
ybbJ	Inner membrane protein YbbJ	63
ybaL	Putative cation/proton antiporter YbaL	63
group_4823	hypothetical protein	63
group_4828	hypothetical protein	63
purU	Formyltetrahydrofolate deformylase	63
group_4836	hypothetical protein	63
luxO_1	Regulatory protein LuxO	63
pspB_2	Phage shock protein B	63
nodD2_1	Nodulation protein D 2	63
group_4853	ATP-dependent RNA helicase RhlE	63
yciB_1	hypothetical protein	63
sdcS_3	Sodium-dependent dicarboxylate transporter SdcS	63
group_4882	hypothetical protein	63
ttgF	Toluene efflux pump outer membrane protein TtgF	63
rsgA_1	Small ribosomal subunit biogenesis GTPase RsgA	63
glgX	Glycogen operon protein GlgX 	63
group_4928	hypothetical protein	63
licC	Lichenan permease IIC component	63
group_500	hypothetical protein	63
aaeB_1	hypothetical protein	63
kdsD	Arabinose 5-phosphate isomerase KdsD	63
hdfR_5	HTH-type transcriptional regulator HdfR	63
gltK	hypothetical protein	63
flgK_2	hypothetical protein	63
rne	Ribonuclease E	63
mrcB	Penicillin-binding protein 1B	63
group_5076	hypothetical protein	63
group_5096	hypothetical protein	63
group_510	hypothetical protein	63
mleN_4	hypothetical protein	63
fhuB	Iron(3 )-hydroxamate import system permease protein FhuB	63
group_5143	Azurin	63
pyrC	Dihydroorotase	63
group_5148	hypothetical protein	63
group_5157	hypothetical protein	63
sgrR_1	HTH-type transcriptional regulator SgrR	63
